SpatialDim,ParentLocationCode_x,TimeDimensionValue_x,FEMALE_L_PER_CAPITA,MALE_L_PER_CAPITA,BOTH_SEX_L_PER_CAPITA,Id,IndicatorCode,SpatialDimType,TimeDimType,ParentLocationCode_y,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue_y,TimeDimensionBegin,TimeDimensionEnd
GEO,EUR,2018,3.6,13.6,8.3,5317875,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GHA,AFR,2018,1.2,4.4,2.8,5317876,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,Retail price and tax data collected as of 31 January 2023.,2023-10-23T16:11:37+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GIN,AFR,2018,0.3,1.9,1.1,5317877,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:37+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GMB,AFR,2018,1.2,6.1,3.6,5317878,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Brandy,,,,,2023-10-23T16:11:37+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GNB,AFR,2018,2.0,9.0,5.4,5317879,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:37+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GNQ,AFR,2018,3.3,10.1,7.2,5317880,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:37+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GRC,EUR,2018,4.5,16.2,10.2,5317881,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GRD,AMR,2018,3.9,15.1,9.5,5317882,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GTM,AMR,2018,1.0,4.0,2.5,5317883,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
GUY,AMR,2018,2.7,11.0,6.9,5317884,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
HND,AMR,2018,1.5,6.1,3.8,5317885,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
HRV,EUR,2018,4.2,14.7,9.2,5317886,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Brandy,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
HTI,AMR,2018,1.1,4.5,2.7,5317887,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,Retail price and tax data collected as of 31 March 2023.,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
HUN,EUR,2018,5.4,18.1,11.4,5317888,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
IDN,SEAR,2018,0.2,1.0,0.6,5317889,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
IND,SEAR,2018,1.9,9.0,5.5,5317890,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
IRL,EUR,2018,6.4,19.6,12.9,5317891,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
IRN,EMR,2018,0.3,1.8,1.0,5317892,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
IRQ,EMR,2018,0.1,0.7,0.4,5317893,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Arak,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
ISL,EUR,2018,4.3,13.9,9.1,5317894,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
ISR,EUR,2018,1.9,6.6,4.2,5317895,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
ITA,EUR,2018,3.5,12.5,7.8,5317896,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
JAM,AMR,2018,1.7,6.8,4.2,5317897,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
JOR,EMR,2018,0.2,1.2,0.7,5317898,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
JPN,WPR,2018,3.9,12.3,8.0,5317899,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
KAZ,EUR,2018,1.9,7.9,4.8,5317900,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
KEN,AFR,2018,1.1,4.6,2.8,5317901,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:37+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
KGZ,EUR,2018,2.0,10.8,6.3,5317902,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
KHM,WPR,2018,2.7,10.9,6.6,5317903,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
KIR,WPR,2018,0.2,0.8,0.5,5317904,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
KNA,AMR,2018,4.0,14.1,8.9,5317905,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
KOR,WPR,2018,4.8,14.7,9.7,5317906,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Soju,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
KWT,EMR,2018,0.0,0.0,0.0,5317907,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LAO,WPR,2018,4.6,17.1,10.7,5317908,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LBN,EMR,2018,0.6,2.9,1.7,5317909,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LBR,AFR,2018,2.5,9.7,6.1,5317910,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LBY,EMR,2018,0.0,0.0,0.0,5317911,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LCA,AMR,2018,4.4,17.2,10.6,5317912,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LKA,SEAR,2018,1.7,6.8,4.1,5317913,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Arrack,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LSO,AFR,2018,1.6,7.9,4.6,5317914,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LTU,EUR,2018,6.6,21.3,13.2,5317915,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LUX,EUR,2018,6.4,19.5,12.9,5317916,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
LVA,EUR,2018,6.1,20.9,12.8,5317917,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Brandy,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MAR,EMR,2018,0.2,1.2,0.7,5317918,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MCO,EUR,2018,0.0,0.0,0.0,5317919,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MDA,EUR,2018,5.3,18.3,11.4,5317920,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MDG,AFR,2018,0.8,3.2,2.0,5317921,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MDV,SEAR,2018,0.5,3.5,2.2,5317922,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MEX,AMR,2018,2.1,8.0,5.0,5342092,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Licor de Agave,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MHL,WPR,2018,0.0,0.0,0.0,5342093,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MKD,EUR,2018,2.4,9.9,6.2,5342094,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MLI,AFR,2018,0.4,2.2,1.3,5342095,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MLT,EUR,2018,3.6,12.4,8.0,5342096,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MMR,SEAR,2018,2.0,8.4,5.1,5342097,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MNE,EUR,2018,5.0,18.3,11.5,5342098,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MNG,WPR,2018,3.8,12.8,8.2,5342099,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MOZ,AFR,2018,0.9,3.9,2.3,5342100,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MRT,AFR,2018,0.0,0.1,0.0,5342101,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MUS,AFR,2018,1.8,7.0,4.4,5342102,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MWI,AFR,2018,1.4,6.0,3.6,5342103,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
MYS,WPR,2018,0.3,1.4,0.9,5342104,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
NAM,AFR,2018,2.1,9.1,5.4,5342105,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
NER,AFR,2018,0.2,1.2,0.7,5342106,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
NGA,AFR,2018,4.4,17.2,10.8,5342107,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
NIC,AMR,2018,2.1,8.5,5.2,5342108,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
