SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue,Helper,2010 index Value Alc,2010 index Value All,2010 Price, 2010 *6M ,2010 UOM, 2010 USD conversion , Total USD All(/6M) ,Price per that year,Total Household Exp,Total Alc Market,Total Market Growth
EST,EUR,1996,1.7,1996,EST1996,53.22,50.54,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,2854.23,17125395106,291131716.8,49.78
PLW,WPR,1990,5.4,1990,PLW1990,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
EST,EUR,1997,1.9,1997,EST1997,55.4,55.48,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,3133.22,18799305906,357186812.2,54.72
EST,EUR,1998,1.9,1998,EST1998,59.83,59.46,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,3357.99,20147922300,382810523.7,58.7
EST,EUR,1999,2,1999,EST1999,62.77,61.82,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,3491.27,20947604382,418952087.6,61.06
EST,EUR,2000,2.1,2000,EST2000,62.92,63.89,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,3608.17,21649020446,454629429.4,63.13
EST,EUR,2001,1.9,2001,EST2001,63.73,67.91,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,3835.2,23011190773,437212624.7,67.15
EST,EUR,2002,2.1,2002,EST2002,64.09,70.47,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,3979.77,23878642524,501451493,69.71
EST,EUR,2003,2.1,2003,EST2003,65.5,71.93,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,4062.23,24373361100,511840583.1,71.17
USA,AMR,1990,0.9,1990,USA1990,65.46,65.54,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,64.54
EST,EUR,2004,1.9,2004,EST2004,70.66,74.9,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,4229.96,25379740670,482215072.7,74.14
EST,EUR,2005,1.9,2005,EST2005,71.98,78.23,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,4418.02,26508105643,503654007.2,77.47
EST,EUR,2006,1.9,2006,EST2006,74.31,83.01,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,4687.97,28127800708,534428213.5,82.25
EST,EUR,2007,1.9,2007,EST2007,77.79,89.43,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,5050.53,30303207051,575760934,88.67
EST,EUR,2010,2.2,2010,EST2010,100,100,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,5647.47,33884834006,745466348.1,99.24
EST,EUR,2011,2.1,2011,EST2011,106.04,105.74,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,5971.64,35829823477,752426293,104.98
EST,EUR,2012,2.5,2012,EST2012,111.79,109.94,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,6208.83,37252986506,931324662.6,109.18
CAN,AMR,1990,2.3,1990,CAN1990,68.94,71.63,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,70.599837
JPN,WPR,1990,1.2,1990,JPN1990,#N/A,#N/A,282864600,"1,697,187,600,000,000.00",JPY,87.779875,,#N/A,#N/A,#N/A,#N/A
EST,EUR,2015,2.2,2015,EST2015,129.21,114.26,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,6452.8,38716811335,851769849.4,113.5
EST,EUR,2016,2.1,2016,EST2016,139.04,115.27,7479.65,"44,877,900,000.00",EUR,0.76,5647.47,6509.84,39059048158,820240011.3,114.51
LVA,EUR,1994,2,1994,LVA1994,#N/A,#N/A,11248.709,"67,492,254,000.00",LVL,0.76,8493.28,#N/A,#N/A,#N/A,#N/A
ZWE,AFR,1990,7,1990,ZWE1990,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
LTU,EUR,1990,6.1,1990,LTU1990,#N/A,#N/A,17881.9967,"107,291,980,200.00",EUR,0.76,13501.71,#N/A,#N/A,#N/A,#N/A
CAN,AMR,1991,2.2,1991,CAN1991,72.45,75.11,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,74.079837
LTU,EUR,1993,2,1993,LTU1993,#N/A,#N/A,17881.9967,"107,291,980,200.00",EUR,0.76,13501.71,#N/A,#N/A,#N/A,#N/A
LTU,EUR,1998,3.4,1998,LTU1998,98.18,77.33,17881.9967,"107,291,980,200.00",EUR,0.76,13501.71,10440.87,62645244258,2129938305,76.57
LTU,EUR,2008,2.5,2008,LTU2008,95.09,94.63,17881.9967,"107,291,980,200.00",EUR,0.76,13501.71,12776.67,76660021520,1916500538,93.87
AUS,WPR,1991,4.1,1991,AUS1991,56.72,64.43,775116,"4,650,696,000,000.00",AUD,1.090159,, $-   , $-   , $-   ,63.339841
LTU,EUR,2012,2.4,2012,LTU2012,101.5,107.35,17881.9967,"107,291,980,200.00",EUR,0.76,13501.71,14494.09,86964528270,2087148678,106.59
SVN,EUR,2000,1.1,2000,SVN2000,71.39,67.82,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,10230.97,61385830681,675244137.5,67.06
SVN,EUR,2001,1,2001,SVN2001,75.76,72.95,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,11004.86,66029141081,660291410.8,72.19
SVN,EUR,2002,1,2002,SVN2002,79.9,78.48,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,11839.08,71034502976,710345029.8,77.72
JPN,WPR,1991,1.3,1991,JPN1991,#N/A,#N/A,282864600,"1,697,187,600,000,000.00",JPY,87.779875,,#N/A,#N/A,#N/A,#N/A
SVN,EUR,2003,1,2003,SVN2003,85.28,82.58,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,12457.59,74745530781,747455307.8,81.82
SVN,EUR,2004,0.9,2004,SVN2004,83.75,85,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,12822.66,76935942316,692423480.8,84.24
SVN,EUR,2005,0.9,2005,SVN2005,82.12,86.87,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,13104.76,78628533047,707656797.4,86.11
SVN,EUR,2006,1,2006,SVN2006,82.41,88.91,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,13412.5,80474995662,804749956.6,88.15
SVN,EUR,2007,1,2007,SVN2007,85.47,92.55,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,13961.61,83769664251,837696642.5,91.79
SVN,EUR,2008,1,2008,SVN2008,89.26,97.74,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,14744.55,88467282376,884672823.8,96.98
SVN,EUR,2009,1,2009,SVN2009,96.44,98.56,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,14868.25,89209487937,892094879.4,97.8
SVN,EUR,2010,1,2010,SVN2010,100,100,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,15085.48,90512873312,905128733.1,99.24
SVN,EUR,2012,1.1,2012,SVN2012,109.46,103.54,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,15619.5,93717029028,1030887319,102.78
SVN,EUR,2015,1,2015,SVN2015,117.44,105.09,19979.5759,"119,877,455,400.00",EUR,0.76,15085.48,15853.33,95119978564,951199785.6,104.33
IRL,EUR,2015,2.5,2015,IRL2015,103.91,105.58,78267.0175,"469,602,105,000.00",EUR,0.76,59095.12,62392.63,3.74356E+11,9358894191,104.82
FIN,EUR,1990,7.1,1990,FIN1990,78.45,68.33,94466,"566,796,000,000.00",EUR,0.76,71326.08,48737.11,2.92423E+11,20762009340,67.57
FIN,EUR,1991,7,1991,FIN1991,84.39,71.55,94466,"566,796,000,000.00",EUR,0.76,71326.08,51033.81,3.06203E+11,21434200592,70.79
FIN,EUR,1992,6.9,1992,FIN1992,87.17,74.12,94466,"566,796,000,000.00",EUR,0.76,71326.08,52866.89,3.17201E+11,21886892963,73.36
ZAF,AFR,1992,7.8,1992,ZAF1992,#N/A,28.43,1621835.538,"9,731,013,228,000.00",ZAR,#N/A,, $-   , $-   , $-   ,#N/A
FIN,EUR,1993,6.5,1993,FIN1993,88.47,76.84,94466,"566,796,000,000.00",EUR,0.76,71326.08,54806.96,3.28842E+11,21374714641,76.08
FIN,EUR,1994,6.2,1994,FIN1994,88.27,77.26,94466,"566,796,000,000.00",EUR,0.76,71326.08,55106.53,3.30639E+11,20499629219,76.5
FIN,EUR,1998,5.6,1998,FIN1998,90.66,81.23,94466,"566,796,000,000.00",EUR,0.76,71326.08,57938.18,3.47629E+11,19467226992,80.47
JPN,WPR,1992,1.2,1992,JPN1992,#N/A,#N/A,282864600,"1,697,187,600,000,000.00",JPY,87.779875,,#N/A,#N/A,#N/A,#N/A
CAN,AMR,1992,2.2,1992,CAN1992,76,76.32,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,75.289837
FIN,EUR,1999,5.7,1999,FIN1999,91.91,82.45,94466,"566,796,000,000.00",EUR,0.76,71326.08,58808.35,3.5285E+11,20112456986,81.69
FIN,EUR,2000,5.4,2000,FIN2000,93.88,85.05,94466,"566,796,000,000.00",EUR,0.76,71326.08,60662.83,3.63977E+11,19654757524,84.29
FIN,EUR,2001,5.4,2001,FIN2001,95.44,87.39,94466,"566,796,000,000.00",EUR,0.76,71326.08,62331.86,3.73991E+11,20195523340,86.63
FIN,EUR,2002,5.5,2002,FIN2002,97.09,88.88,94466,"566,796,000,000.00",EUR,0.76,71326.08,63394.62,3.80368E+11,20920224853,88.12
FIN,EUR,2003,5.4,2003,FIN2003,98.39,89.77,94466,"566,796,000,000.00",EUR,0.76,71326.08,64029.42,3.84177E+11,20745533015,89.01
FIN,EUR,2004,4.8,2004,FIN2004,83.89,90.03,94466,"566,796,000,000.00",EUR,0.76,71326.08,64214.87,3.85289E+11,18493882761,89.27
FIN,EUR,2005,4.6,2005,FIN2005,81.29,90.89,94466,"566,796,000,000.00",EUR,0.76,71326.08,64828.27,3.8897E+11,17892603898,90.13
FIN,EUR,2006,4.6,2006,FIN2006,81.69,92.01,94466,"566,796,000,000.00",EUR,0.76,71326.08,65627.13,3.93763E+11,18113087080,91.25
FIN,EUR,2007,4.7,2007,FIN2007,84.62,93.74,94466,"566,796,000,000.00",EUR,0.76,71326.08,66861.07,4.01166E+11,18854821261,92.98
FIN,EUR,2008,4.6,2008,FIN2008,90.4,96.78,94466,"566,796,000,000.00",EUR,0.76,71326.08,69029.38,4.14176E+11,19052109201,96.02
FIN,EUR,2009,4.8,2009,FIN2009,96.62,98.65,94466,"566,796,000,000.00",EUR,0.76,71326.08,70363.18,4.22179E+11,20264595517,97.89
THA,SEAR,1992,2.5,1992,THA1992,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
FIN,EUR,2010,4.7,2010,FIN2010,100,100,94466,"566,796,000,000.00",EUR,0.76,71326.08,71326.08,4.27956E+11,20113954834,99.24
FIN,EUR,2011,4.5,2011,FIN2011,100.63,103.18,94466,"566,796,000,000.00",EUR,0.76,71326.08,73594.25,4.41566E+11,19870447593,102.42
FIN,EUR,2012,4.4,2012,FIN2012,107.43,106.14,94466,"566,796,000,000.00",EUR,0.76,71326.08,75705.5,4.54233E+11,19986252618,105.38
FIN,EUR,2013,4.3,2013,FIN2013,108.62,108.78,94466,"566,796,000,000.00",EUR,0.76,71326.08,77588.51,4.65531E+11,20017835807,108.02
FIN,EUR,2014,4.2,2014,FIN2014,112.19,110.34,94466,"566,796,000,000.00",EUR,0.76,71326.08,78701.2,4.72207E+11,19832701831,109.58
FIN,EUR,2015,4.1,2015,FIN2015,111.75,110.83,94466,"566,796,000,000.00",EUR,0.76,71326.08,79050.7,4.74304E+11,19446471103,110.07
GRC,EUR,2000,0.9,2000,GRC2000,66.88,74.79,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,85855.42,5.15133E+11,4636192536,74.03
AUS,WPR,1993,2.9,1993,AUS1993,60.89,66.82,775116,"4,650,696,000,000.00",AUD,1.090159,, $-   , $-   , $-   ,65.729841
GRC,EUR,2002,0.9,2002,GRC2002,71.17,78.55,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,90171.72,5.4103E+11,4869272947,77.79
GRC,EUR,2003,1,2003,GRC2003,72.68,80.51,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,92421.71,5.5453E+11,5545302567,79.75
GRC,EUR,2004,1,2004,GRC2004,75.15,83.18,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,95486.74,5.7292E+11,5729204665,82.42
GRC,EUR,2005,1,2005,GRC2005,75.15,85.63,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,98299.23,5.89795E+11,5897953780,84.87
GRC,EUR,2006,1,2006,GRC2006,77.22,88.4,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,101479.06,6.08874E+11,6088743596,87.64
GRC,EUR,2007,0.9,2007,GRC2007,80.84,91.64,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,105198.43,6.31191E+11,5680715123,90.88
GRC,EUR,2008,0.9,2008,GRC2008,84.53,95.61,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,109755.8,6.58535E+11,5926813323,94.85
SYC,AFR,1993,22,1993,SYC1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
GRC,EUR,2009,0.9,2009,GRC2009,87.71,96.51,152037.7152,"912,226,291,200.00",EUR,0.76,114795.32,110788.96,6.64734E+11,5982603847,95.75
AUT,EUR,1995,1.7,1995,AUT1995,88.57,79.33,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,91342.27,5.48054E+11,9316911923,78.57
CAN,AMR,1993,2.2,1993,CAN1993,77.18,77.84,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,76.809837
AUT,EUR,1996,1.6,1996,AUT1996,88.18,80.48,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,92666.41,5.55998E+11,8895975223,79.72
JPN,WPR,1993,1.2,1993,JPN1993,#N/A,#N/A,282864600,"1,697,187,600,000,000.00",JPY,87.779875,,#N/A,#N/A,#N/A,#N/A
AUT,EUR,1997,1.6,1997,AUT1997,88.32,81.72,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,94094.17,5.64565E+11,9033040448,80.96
AUT,EUR,1998,1.5,1998,AUT1998,88.41,81.9,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,94301.43,5.65809E+11,8487128449,81.14
AUT,EUR,1999,1.5,1999,AUT1999,88.32,81.96,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,94370.51,5.66223E+11,8493346126,81.2
AUT,EUR,2000,1.4,2000,AUT2000,87.17,83.64,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,96304.9,5.77829E+11,8089611664,82.88
AUT,EUR,2001,1.4,2001,AUT2001,89.07,85.66,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,98630.77,5.91785E+11,8284984877,84.9
CAN,AMR,1994,2.2,1994,CAN1994,77.12,78.66,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,77.629837
AUS,WPR,1994,2.9,1994,AUS1994,63.07,68.2,775116,"4,650,696,000,000.00",AUD,1.090159,, $-   , $-   , $-   ,67.109841
AUT,EUR,2002,1.4,2002,AUT2002,90.12,86.58,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,99690.08,5.9814E+11,8373966736,85.82
JPN,WPR,1994,1.1,1994,JPN1994,#N/A,109.19,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,21.410125
AUT,EUR,2003,1.4,2003,AUT2003,91.78,87.94,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,101256.01,6.07536E+11,8505505138,87.18
AUT,EUR,2004,1.4,2004,AUT2004,93.61,89.46,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,103006.17,6.18037E+11,8652518645,88.7
AUT,EUR,2005,1.4,2005,AUT2005,91.31,91.67,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,105550.82,6.33305E+11,8866268546,90.91
AUT,EUR,2006,1.3,2006,AUT2006,91.23,93.63,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,107807.6,6.46846E+11,8408992981,92.87
AUT,EUR,2007,1.3,2007,AUT2007,92.7,96.01,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,110547.99,6.63288E+11,8622742883,95.25
AUT,EUR,2008,1.4,2008,AUT2008,96.61,98,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,112839.31,6.77036E+11,9478502428,97.24
AUT,EUR,2009,1.4,2009,AUT2009,99.71,98.26,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,113138.68,6.78832E+11,9503649475,97.5
MEX,AMR,1994,1,1994,MEX1994,25.74,21.17,8734843.839,"52,409,063,034,000.00",MXN,12.636008,, $-   , $-   , $-   ,8.533992
AUT,EUR,2010,1.4,2010,AUT2010,100,100,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,115142.16,6.90853E+11,9671941253,99.24
AUT,EUR,2011,1.4,2011,AUT2011,102.48,103.2,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,118826.71,7.1296E+11,9981443373,102.44
AUT,EUR,2012,1.4,2012,AUT2012,105.66,105.65,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,121647.69,7.29886E+11,10218405933,104.89
AUT,EUR,2013,1.4,2013,AUT2013,108.58,107.94,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,124284.45,7.45707E+11,10439893388,107.18
AUT,EUR,2014,1.4,2014,AUT2014,112.69,110.1,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,126771.52,7.60629E+11,10648807319,109.34
AUT,EUR,2015,1.4,2015,AUT2015,115.79,111.77,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,128694.39,7.72166E+11,10810328738,111.01
AUT,EUR,2016,1.3,2016,AUT2016,117.7,113.26,152497.08,"914,982,480,000.00",EUR,0.76,115142.16,130410.01,7.8246E+11,10171980615,112.5
