SpatialDim,ParentLocationCode,TimeDim,TimeDimensionValue,SPIRITS_PERCENT,BEER_PERCENT,WINE_PERCENT,OTHER_ALCOHOL_PERCENT
AFG,EMR,2016,2016,0.0,0.0,0.0,0.0
AGO,AFR,2016,2016,11.3,70.3,17.6,0.8
ALB,EUR,2016,2016,37.6,34.3,26.5,1.7
AND,EUR,2016,2016,23.9,34.1,42.0,0.0
ARE,EMR,2016,2016,81.9,10.1,7.7,0.3
ARG,AMR,2016,2016,9.6,39.9,40.2,10.3
ARM,EUR,2016,2016,82.3,10.6,7.0,0.0
ATG,AMR,2016,2016,45.4,33.0,18.3,3.2
AUS,WPR,2016,2016,12.9,39.9,37.5,9.8
AUT,EUR,2016,2016,14.9,53.5,31.6,0.0
AZE,EUR,2016,2016,0.0,61.5,36.9,1.5
BDI,AFR,2016,2016,0.1,39.3,0.1,60.5
BEL,EUR,2016,2016,14.2,44.4,38.3,3.1
BEN,AFR,2016,2016,13.1,63.7,9.6,13.6
BFA,AFR,2016,2016,5.0,18.0,2.7,74.2
BGD,SEAR,2016,2016,0.0,0.0,0.0,0.0
BGR,EUR,2016,2016,42.9,38.8,17.2,1.2
BHR,EMR,2016,2016,45.2,19.0,6.2,29.6
BHS,AMR,2016,2016,41.2,39.2,16.6,3.0
BIH,EUR,2016,2016,12.4,75.8,8.6,3.2
BLR,EUR,2016,2016,49.0,22.8,2.2,26.0
BLZ,AMR,2016,2016,26.7,69.1,1.9,2.3
BOL,AMR,2016,2016,21.3,72.8,4.3,1.6
BRA,AMR,2016,2016,34.3,61.8,3.4,0.5
BRB,AMR,2016,2016,50.0,37.6,10.5,1.9
BRN,WPR,2016,2016,0.0,100.0,0.0,0.0
BTN,SEAR,2016,2016,49.6,46.2,4.2,0.0
BWA,AFR,2016,2016,4.4,48.1,23.5,24.0
CAF,AFR,2016,2016,0.0,25.9,0.7,73.5
CAN,AMR,2016,2016,25.6,45.1,25.6,3.7
CHE,EUR,2016,2016,18.5,32.1,48.1,1.2
CHL,AMR,2016,2016,30.8,36.1,33.1,0.0
CHN,WPR,2016,2016,67.2,29.6,3.1,0.0
CIV,AFR,2016,2016,0.2,21.9,5.0,72.9
CMR,AFR,2016,2016,0.1,43.5,1.4,54.9
COD,AFR,2016,2016,0.7,38.9,0.6,59.9
COG,AFR,2016,2016,10.3,84.4,4.7,0.6
COK,WPR,2016,2016,52.2,31.7,16.1,0.0
COL,AMR,2016,2016,27.2,71.3,1.1,0.3
COM,AFR,2016,2016,44.8,24.6,30.6,0.0
CPV,AFR,2016,2016,0.0,55.0,45.0,0.0
CRI,AMR,2016,2016,27.9,64.1,7.2,0.8
CUB,AMR,2016,2016,57.4,37.3,4.9,0.4
CYP,EUR,2016,2016,41.9,29.7,28.4,0.0
CZE,EUR,2016,2016,25.4,53.3,21.3,0.0
DEU,EUR,2016,2016,18.9,52.6,28.4,0.0
DJI,EMR,2016,2016,55.0,27.5,16.7,0.9
DMA,AMR,2016,2016,88.9,11.1,0.0,0.0
DNK,EUR,2016,2016,17.1,37.4,44.7,0.8
DOM,AMR,2016,2016,41.9,52.2,4.4,1.5
DZA,AFR,2016,2016,18.3,57.3,24.4,0.0
ECU,AMR,2016,2016,17.8,79.9,1.5,0.7
EGY,EMR,2016,2016,33.1,62.0,4.4,0.6
ERI,AFR,2016,2016,0.2,62.1,0.1,37.7
ESP,EUR,2016,2016,27.8,54.2,18.0,0.0
EST,EUR,2016,2016,50.3,32.7,7.4,9.6
ETH,AFR,2016,2016,8.3,54.6,0.3,36.9
FIN,EUR,2016,2016,21.5,48.8,20.6,9.1
FJI,WPR,2016,2016,28.9,69.8,1.2,0.0
FRA,EUR,2016,2016,20.7,18.8,58.8,1.7
FSM,WPR,2016,2016,32.8,58.1,8.5,0.6
GAB,AFR,2016,2016,13.4,76.3,9.2,1.1
GBR,EUR,2016,2016,22.5,35.0,35.7,6.7
GEO,EUR,2016,2016,38.5,18.4,43.0,0.0
GHA,AFR,2016,2016,8.0,28.3,6.6,57.1
GIN,AFR,2016,2016,0.0,91.1,8.9,0.0
GMB,AFR,2016,2016,0.0,8.5,2.1,89.4
GNB,AFR,2016,2016,13.7,13.7,31.3,41.2
GNQ,AFR,2016,2016,0.0,83.0,17.0,0.0
GRC,EUR,2016,2016,21.8,31.5,45.5,1.3
GRD,AMR,2016,2016,48.3,40.9,7.0,3.8
GTM,AMR,2016,2016,41.7,56.1,2.1,0.2
GUY,AMR,2016,2016,50.8,48.4,0.2,0.6
HND,AMR,2016,2016,52.1,46.6,1.2,0.1
HRV,EUR,2016,2016,13.0,44.5,39.0,3.5
HTI,AMR,2016,2016,97.3,2.3,0.3,0.1
HUN,EUR,2016,2016,32.3,35.5,32.2,0.0
IDN,SEAR,2016,2016,4.6,18.5,76.4,0.6
IND,SEAR,2016,2016,92.4,7.5,0.1,0.0
IRL,EUR,2016,2016,18.8,47.0,28.0,6.2
IRN,EMR,2016,2016,0.0,0.0,0.0,0.0
IRQ,EMR,2016,2016,25.7,71.0,2.4,0.9
ISL,EUR,2016,2016,15.5,56.5,27.9,0.0
ISR,EUR,2016,2016,39.5,54.4,4.7,1.4
ITA,EUR,2016,2016,9.8,25.4,64.8,0.0
JAM,AMR,2016,2016,54.2,36.3,4.8,4.6
JOR,EMR,2016,2016,75.9,19.9,2.6,1.6
JPN,WPR,2016,2016,40.0,18.2,5.5,36.3
KAZ,EUR,2016,2016,62.9,30.5,6.5,0.0
KEN,AFR,2016,2016,21.4,39.8,1.8,37.0
KGZ,EUR,2016,2016,86.2,11.6,2.2,0.0
KHM,WPR,2016,2016,11.2,88.1,0.6,0.1
KIR,WPR,2016,2016,0.0,100.0,0.0,0.0
KNA,AMR,2016,2016,43.4,47.8,6.5,2.3
KOR,WPR,2016,2016,7.1,22.2,1.9,68.9
KWT,EMR,2016,2016,0.0,0.0,0.0,0.0
LAO,WPR,2016,2016,49.8,50.1,0.0,0.0
LBN,EMR,2016,2016,49.2,33.9,15.4,1.5
LBR,AFR,2016,2016,88.2,9.4,1.8,0.6
LBY,EMR,2016,2016,0.0,0.0,0.0,0.0
LCA,AMR,2016,2016,50.0,35.4,13.2,1.4
LKA,SEAR,2016,2016,84.9,13.2,0.3,1.5
LSO,AFR,2016,2016,10.5,57.4,3.2,28.9
LTU,EUR,2016,2016,37.1,43.6,7.3,12.1
LUX,EUR,2016,2016,20.0,35.4,44.6,0.0
LVA,EUR,2016,2016,40.0,42.8,11.1,6.1
MAR,EMR,2016,2016,17.0,42.9,39.8,0.4
MCO,EUR,2016,2016,0.0,0.0,0.0,0.0
MDA,EUR,2016,2016,25.2,16.2,56.6,2.0
MDG,AFR,2016,2016,38.0,53.8,8.2,0.0
MDV,SEAR,2016,2016,31.9,30.8,37.2,0.0
MEX,AMR,2016,2016,20.4,77.1,2.1,0.5
MHL,WPR,2016,2016,0.0,0.0,0.0,0.0
MKD,EUR,2016,2016,17.4,35.3,46.6,0.7
MLI,AFR,2016,2016,0.0,15.8,1.2,83.0
MLT,EUR,2016,2016,28.7,36.4,29.9,4.9
MMR,SEAR,2016,2016,67.7,22.4,9.8,0.0
MNE,EUR,2016,2016,44.1,10.8,43.1,2.0
MNG,WPR,2016,2016,54.5,43.6,1.9,0.0
MOZ,AFR,2016,2016,12.4,78.7,8.3,0.6
MRT,AFR,2016,2016,0.0,0.0,0.0,0.0
MUS,AFR,2016,2016,30.8,53.9,15.4,0.0
MWI,AFR,2016,2016,11.3,8.8,0.8,79.1
MYS,WPR,2016,2016,17.4,60.7,21.0,0.8
NAM,AFR,2016,2016,13.9,60.2,10.4,15.6
NER,AFR,2016,2016,41.4,45.0,13.7,0.0
NGA,AFR,2016,2016,0.6,7.9,0.4,91.1
NIC,AMR,2016,2016,59.5,39.7,0.8,0.1
NIU,WPR,2016,2016,30.6,56.3,13.1,0.0
NLD,EUR,2016,2016,16.4,47.8,35.8,0.0
NOR,EUR,2016,2016,16.7,43.9,36.7,2.7
NPL,SEAR,2016,2016,20.0,31.0,49.0,0.0
NRU,WPR,2016,2016,74.3,22.0,3.7,0.0
NZL,WPR,2016,2016,28.9,37.4,33.4,0.3
OMN,EMR,2016,2016,57.0,39.8,2.8,0.3
PAK,EMR,2016,2016,0.0,0.0,0.0,0.0
PAN,AMR,2016,2016,19.4,76.9,3.5,0.3
PER,AMR,2016,2016,31.8,60.1,8.1,0.0
PHL,WPR,2016,2016,72.0,27.3,0.4,0.3
PLW,WPR,2016,2016,0.0,0.0,0.0,0.0
PNG,WPR,2016,2016,2.1,95.2,2.7,0.0
POL,EUR,2016,2016,36.1,56.1,7.8,0.0
PRK,SEAR,2016,2016,97.3,2.7,0.0,0.0
PRT,EUR,2016,2016,7.7,26.1,61.5,4.7
PRY,AMR,2016,2016,27.3,54.2,17.4,1.1
QAT,EMR,2016,2016,63.4,25.9,10.2,0.5
ROU,EUR,2016,2016,16.4,55.6,28.1,0.0
RUS,EUR,2016,2016,38.6,39.0,12.8,9.5
RWA,AFR,2016,2016,2.7,14.8,0.2,82.3
SAU,EMR,2016,2016,0.0,0.0,0.0,0.0
SDN,EMR,2016,2016,0.0,0.0,0.0,0.0
SEN,AFR,2016,2016,8.5,56.4,34.1,1.0
SGP,WPR,2016,2016,13.4,70.0,14.6,2.1
SLB,WPR,2016,2016,3.3,93.3,2.9,0.5
SLE,AFR,2016,2016,0.0,4.0,1.1,94.9
SLV,AMR,2016,2016,50.7,47.8,1.3,0.1
SMR,EUR,2016,2016,0.0,0.0,0.0,0.0
SOM,EMR,2016,2016,0.0,0.0,0.0,0.0
SRB,EUR,2016,2016,25.4,32.0,42.5,0.1
SSD,AFR,2016,2016,0.0,0.0,0.0,0.0
STP,AFR,2016,2016,0.0,19.8,80.2,0.0
SUR,AMR,2016,2016,48.8,44.9,3.5,2.8
SVK,EUR,2016,2016,41.9,33.7,20.9,0.0
SVN,EUR,2016,2016,8.0,41.4,50.6,0.0
SWE,EUR,2016,2016,14.1,36.4,47.8,1.7
SWZ,AFR,2016,2016,0.0,24.6,16.1,59.3
SYC,AFR,2016,2016,6.3,68.9,22.4,2.5
SYR,EMR,2016,2016,87.2,11.6,1.1,0.0
TCD,AFR,2016,2016,5.3,70.2,1.0,23.5
TGO,AFR,2016,2016,18.2,37.0,16.0,28.8
THA,SEAR,2016,2016,68.9,28.3,2.7,0.0
TJK,EUR,2016,2016,60.9,37.9,0.7,0.0
TKM,EUR,2016,2016,38.0,26.8,35.1,0.0
TLS,SEAR,2016,2016,0.0,67.6,32.4,0.0
TON,WPR,2016,2016,27.9,60.7,11.5,0.0
TTO,AMR,2016,2016,37.1,57.9,3.3,1.7
TUN,EMR,2016,2016,3.8,72.2,23.9,0.1
TUR,EUR,2016,2016,33.8,57.6,8.6,0.0
TUV,WPR,2016,2016,14.1,0.6,84.7,0.0
TZA,AFR,2016,2016,1.6,12.2,0.4,85.8
UGA,AFR,2016,2016,3.1,11.0,0.1,85.8
UKR,EUR,2016,2016,51.5,42.3,5.4,0.8
URY,AMR,2016,2016,21.1,35.2,43.7,0.0
USA,AMR,2016,2016,34.9,47.0,18.1,0.0
UZB,EUR,2016,2016,56.9,34.4,8.6,0.0
VCT,AMR,2016,2016,57.2,36.6,3.6,2.6
VEN,AMR,2016,2016,29.2,69.2,0.3,1.3
VNM,WPR,2016,2016,7.7,91.5,0.8,0.0
VUT,WPR,2016,2016,36.1,38.5,25.4,0.0
WSM,WPR,2016,2016,0.0,94.1,5.9,0.0
YEM,EMR,2016,2016,10.5,89.5,0.0,0.0
ZAF,AFR,2016,2016,17.8,56.0,18.5,7.6
ZMB,AFR,2016,2016,0.4,36.4,2.7,60.4
ZWE,AFR,2016,2016,12.0,62.8,1.3,23.9
